Index,Time,(g_motorDebug).open_loop_angle_rad,(g_motorDebug).observer_angle_rad
1666,1.666186,0.853140295,2.43801236
1667,1.667182,1.53313982,3.05913925
1668,1.668184,2.17313933,3.75139594
1669,1.669192,2.85313869,4.42046785
1670,1.670194,3.53313804,5.06510925
1671,1.671189,4.17313766,5.7526412
1672,1.672191,4.85313702,0.139350712
1673,1.673187,5.53313637,0.793981433
1674,1.674190,6.21313572,1.45483518
1675,1.675187,0.569950104,2.14786148
1676,1.676194,1.24995005,2.82167983
1677,1.677216,1.9299494,3.50858498
1678,1.678194,2.56994891,4.1551528
1679,1.679190,3.24994826,4.77935076
1680,1.680192,3.92994761,5.47382355
1681,1.681189,4.56994724,6.13478756
1682,1.682192,5.24994659,0.503890872
1683,1.683186,5.88994598,1.18333519
1684,1.684188,0.286760092,1.86434722
1685,1.685184,0.966760278,2.51466537
1686,1.686191,1.64675963,3.17540073
1687,1.687188,2.28675914,3.86973381
1688,1.688190,2.96675849,4.49530125
1689,1.689184,3.60675788,5.18661165
1690,1.690187,4.28675747,5.86629677
1691,1.691183,4.96675682,0.217958018
1692,1.692185,5.60675621,0.908703446
1693,1.693219,0.0435700789,1.60817719
1694,1.694191,0.683570087,2.22426367
1695,1.695186,1.32356989,2.89413929
1696,1.696193,2.00356936,3.58550715
1697,1.697189,2.68356872,4.22712469
1698,1.698193,3.36356807,4.89502335
1699,1.699189,4.0035677,5.58552551
1700,1.700191,4.68356705,6.20565128
1701,1.701185,5.32356644,0.618929625
1702,1.702188,6.00356579,1.29238713
1703,1.703184,0.400379986,1.93931746
1704,1.704186,1.04038012,2.6237669
1705,1.705183,1.72037947,3.28838849
1706,1.706192,2.40037894,3.94064116
1707,1.707186,3.08037829,4.64282084
1708,1.708208,3.72037768,5.30113983
1709,1.709222,4.40037727,5.97400475
1710,1.710212,5.08037663,0.333261102
1711,1.711194,5.72037601,1.01785052
1712,1.712191,0.117189959,1.6399821
1713,1.713191,0.757190049,2.33692384
1714,1.714190,1.43718982,3.00307322
1715,1.715192,2.11718917,3.65931058
1716,1.716182,2.75718856,4.33511353
1717,1.717185,3.43718791,5.01008224
1718,1.718193,4.1171875,5.65605068
1719,1.719194,4.79718685,0.0342664719
1720,1.720190,5.43718624,0.732881725
1721,1.721193,6.11718559,1.36255372
1722,1.722191,0.473999858,2.05518651
1723,1.723193,1.15400004,2.73219991
1724,1.724190,1.8339994,3.36270642
1725,1.725190,2.47399879,4.05208874
1726,1.726238,3.1939981,4.71516991
1727,1.727183,3.83399749,5.37526703
1728,1.728186,4.47399712,6.0443244
1729,1.729182,5.15399647,0.449194193
1730,1.730186,5.83399582,1.08822155
1731,1.731193,0.190809876,1.75533247
1732,1.732183,0.870810032,2.44940853
1733,1.733191,1.55080962,3.07519674
1734,1.734193,2.19080901,3.77525902
1735,1.735189,2.87080836,4.44462395
1736,1.736184,3.55080771,5.08651209
1737,1.737190,4.19080734,5.76712465
1738,1.738194,4.87080669,0.151229233
1739,1.739190,5.55080605,0.808060944
1740,1.740192,6.19080544,1.47544575
1741,1.741188,0.587619841,2.17375898
1742,1.742355,1.38761973,2.95957232
1743,1.743190,1.90761924,3.48264503
1744,1.744184,2.58761859,4.16615629
1745,1.745192,3.26761794,4.79314852
1746,1.746188,3.90761733,5.49331331
1747,1.747184,4.58761692,6.15882254
1748,1.748186,5.26761627,0.529096901
1749,1.749192,5.90761566,1.2023629
1750,1.750182,0.30442977,1.83621025
1751,1.751191,0.984430015,2.52691078
1752,1.752193,1.62442946,3.19451237
1753,1.753189,2.30442882,3.89475465
1754,1.754193,2.98442817,4.5200572
1755,1.755187,3.62442756,5.20730829
1756,1.756182,4.30442715,5.84183264
1757,1.757280,5.02442646,0.313942909
1758,1.758182,5.62442589,0.9245646
1759,1.759184,0.0212397575,1.59143066
1760,1.760193,0.701239824,2.25059319
1761,1.761193,1.34123969,2.91630459
1762,1.762191,2.02123904,3.60054612
1763,1.763193,2.70123839,4.23851919
1764,1.764189,3.34123778,4.91035032
1765,1.765191,4.02123737,5.60595131
1766,1.766193,4.70123672,6.23010492
1767,1.767193,5.34123611,0.642652869
1768,1.768189,6.02123547,1.30911851
1769,1.769192,0.418049663,1.95065546
1770,1.770190,1.0580498,2.63485003
1771,1.771192,1.73804915,3.30795574
1772,1.772188,2.41804862,3.96426582
1773,1.773189,3.09804797,4.66549063
1774,1.774248,3.77804732,5.35906553
1775,1.775211,4.41804695,5.98520994
1776,1.776182,5.05804634,0.343842626
1777,1.777192,5.73804569,1.03191113
1778,1.778196,0.134859681,1.66204751
1779,1.779190,0.774859726,2.36070633
1780,1.780192,1.45485938,3.02218556
1781,1.781189,2.13485885,3.67206645
